Song Name,Artists,Released Dates,Popularity,Duration,Album Type,Cover Image,genre,mood,user_id,user_rating
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77,Folk,Romantic,user_103,2
Relation,Nikk,2019-08-30,46,165750,single,https://i.scdn.co/image/ab67616d0000b27353f89966a4fca501360b384e,EDM,Calm,user_436,5
Temporary pyar,Kaka,2021-09-04,59,245016,single,https://i.scdn.co/image/ab67616d0000b27393a9941be37b24ef10aa49f0,Romantic,Happy,user_861,2
Distance Love,Zehr Vibe,2021-10-08,70,210681,single,https://i.scdn.co/image/ab67616d0000b2736b3733e73fe3d3c903788915,EDM,Happy,user_271,5
Gal Karke,Inder Chahal,2019-04-15,64,173381,single,https://i.scdn.co/image/ab67616d0000b2735b8b7844099b6160ff4a6a54,Folk,Energetic,user_107,3
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Sad,user_72,2
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d,EDM,Happy,user_701,5
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Romantic,Calm,user_21,1
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6,EDM,Calm,user_615,3
Mann Bharrya,B Praak,2019-10-22,52,276521,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,Romantic,Happy,user_122,3
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb,Romantic,Calm,user_467,1
